"filename", "language", "C", "C++", "Markdown", "Makefile", "nasm", "comment", "blank", "total"
"/Users/huwenjie/Documents/cenneo-os-project/Makefile", "Makefile", 0, 0, 0, 64, 0, 17, 30, 111
"/Users/huwenjie/Documents/cenneo-os-project/Makefile.variable", "Makefile", 0, 0, 0, 62, 0, 8, 11, 81
"/Users/huwenjie/Documents/cenneo-os-project/README.md", "Markdown", 0, 0, 58, 0, 0, 0, 33, 91
"/Users/huwenjie/Documents/cenneo-os-project/applications/Console/Makefile", "Makefile", 0, 0, 0, 32, 0, 0, 16, 48
"/Users/huwenjie/Documents/cenneo-os-project/applications/Console/gfx.c", "C", 14, 0, 0, 0, 0, 0, 7, 21
"/Users/huwenjie/Documents/cenneo-os-project/applications/Console/loop.c", "C", 58, 0, 0, 0, 0, 5, 16, 79
"/Users/huwenjie/Documents/cenneo-os-project/applications/Console/main.c", "C", 12, 0, 0, 0, 0, 6, 12, 30
"/Users/huwenjie/Documents/cenneo-os-project/docs/Architecture.md", "Markdown", 0, 0, 28, 0, 0, 0, 8, 36
"/Users/huwenjie/Documents/cenneo-os-project/docs/FunctionList.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/huwenjie/Documents/cenneo-os-project/docs/HowTo/CreateOS/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/huwenjie/Documents/cenneo-os-project/docs/HowTo/ObtainInformation/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/huwenjie/Documents/cenneo-os-project/docs/HowTo/Run/index.md", "Markdown", 0, 0, 43, 0, 0, 0, 37, 80
"/Users/huwenjie/Documents/cenneo-os-project/docs/HowTo/TeamWork/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/huwenjie/Documents/cenneo-os-project/docs/Plan.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1
